fecha,CVE_ENT,def_registradas
2020-01-01,1,22
2020-01-01,10,27
2020-01-01,11,46
2020-01-01,12,62
2020-01-01,13,54
2020-01-01,14,99
2020-01-01,15,278
2020-01-01,16,83
2020-01-01,17,40
2020-01-01,18,14
2020-01-01,19,105
2020-01-01,2,55
2020-01-01,20,71
2020-01-01,21,125
2020-01-01,22,37
2020-01-01,23,27
2020-01-01,24,48
2020-01-01,25,46
2020-01-01,26,71
2020-01-01,27,14
2020-01-01,28,72
2020-01-01,29,7
2020-01-01,3,9
2020-01-01,30,10
2020-01-01,31,26
2020-01-01,32,39
2020-01-01,39,2
2020-01-01,4,4
2020-01-01,5,58
2020-01-01,6,15
2020-01-01,7,47
2020-01-01,8,86
2020-01-01,9,261
2020-01-02,1,27
2020-01-02,10,27
2020-01-02,11,57
2020-01-02,12,54
2020-01-02,13,45
2020-01-02,14,97
2020-01-02,15,312
2020-01-02,16,78
2020-01-02,17,42
2020-01-02,18,15
2020-01-02,19,105
2020-01-02,2,62
2020-01-02,20,62
2020-01-02,21,152
2020-01-02,22,44
2020-01-02,23,23
2020-01-02,24,55
2020-01-02,25,63
2020-01-02,26,58
2020-01-02,27,15
2020-01-02,28,51
2020-01-02,29,11
2020-01-02,3,9
2020-01-02,30,6
2020-01-02,31,25
2020-01-02,32,46
2020-01-02,39,2
2020-01-02,4,9
2020-01-02,5,61
2020-01-02,6,17
2020-01-02,7,74
2020-01-02,8,77
2020-01-02,9,282
2020-01-03,1,22
2020-01-03,10,23
2020-01-03,11,55
2020-01-03,12,34
2020-01-03,13,45
2020-01-03,14,78
2020-01-03,15,274
2020-01-03,16,79
2020-01-03,17,30
2020-01-03,18,16
2020-01-03,19,85
2020-01-03,2,64
2020-01-03,20,73
2020-01-03,21,88
2020-01-03,22,28
2020-01-03,23,21
2020-01-03,24,56
2020-01-03,25,47
2020-01-03,26,66
2020-01-03,27,23
2020-01-03,28,68
2020-01-03,29,5
2020-01-03,3,15
2020-01-03,30,4
2020-01-03,31,25
2020-01-03,32,29
2020-01-03,39,3
2020-01-03,4,7
2020-01-03,5,58
2020-01-03,6,14
2020-01-03,7,43
2020-01-03,8,107
2020-01-03,9,241
2020-01-04,1,19
2020-01-04,10,22
2020-01-04,11,36
2020-01-04,12,41
2020-01-04,13,64
2020-01-04,14,88
2020-01-04,15,274
2020-01-04,16,79
2020-01-04,17,44
2020-01-04,18,19
2020-01-04,19,114
2020-01-04,2,61
2020-01-04,20,48
2020-01-04,21,135
2020-01-04,22,35
2020-01-04,23,22
2020-01-04,24,56
2020-01-04,25,46
2020-01-04,26,70
2020-01-04,27,17
2020-01-04,28,64
2020-01-04,29,7
2020-01-04,3,11
2020-01-04,30,7
2020-01-04,31,22
2020-01-04,32,32
2020-01-04,39,3
2020-01-04,4,9
2020-01-04,5,59
2020-01-04,6,13
2020-01-04,7,42
2020-01-04,8,76
2020-01-04,9,253
2020-01-05,1,18
2020-01-05,10,28
2020-01-05,11,41
2020-01-05,12,43
2020-01-05,13,69
2020-01-05,14,76
2020-01-05,15,266
2020-01-05,16,103
2020-01-05,17,31
2020-01-05,18,18
2020-01-05,19,94
2020-01-05,2,80
2020-01-05,20,77
2020-01-05,21,134
2020-01-05,22,32
2020-01-05,23,19
2020-01-05,24,48
2020-01-05,25,44
2020-01-05,26,65
2020-01-05,27,13
2020-01-05,28,71
2020-01-05,29,5
2020-01-05,3,11
2020-01-05,30,3
2020-01-05,31,19
2020-01-05,32,38
2020-01-05,39,2
2020-01-05,4,4
2020-01-05,5,71
2020-01-05,6,11
2020-01-05,7,62
2020-01-05,8,84
2020-01-05,9,243
2020-01-06,1,30
2020-01-06,10,35
2020-01-06,11,31
2020-01-06,12,38
2020-01-06,13,56
2020-01-06,14,122
2020-01-06,15,272
2020-01-06,16,100
2020-01-06,17,42
2020-01-06,18,22
2020-01-06,19,107
2020-01-06,2,67
2020-01-06,20,47
2020-01-06,21,140
2020-01-06,22,32
2020-01-06,23,19
2020-01-06,24,51
2020-01-06,25,54
2020-01-06,26,70
2020-01-06,27,15
2020-01-06,28,68
2020-01-06,29,10
2020-01-06,3,17
2020-01-06,30,4
2020-01-06,31,27
2020-01-06,32,41
2020-01-06,39,1
2020-01-06,4,8
2020-01-06,5,61
2020-01-06,6,11
2020-01-06,7,77
2020-01-06,8,85
2020-01-06,9,278
2020-01-07,1,24
2020-01-07,10,33
2020-01-07,11,38
2020-01-07,12,52
2020-01-07,13,62
2020-01-07,14,118
2020-01-07,15,266
2020-01-07,16,88
2020-01-07,17,36
2020-01-07,18,15
2020-01-07,19,114
2020-01-07,2,52
2020-01-07,20,55
2020-01-07,21,159
2020-01-07,22,39
