fecha,CVE_ENT,def_registradas
2020-01-08,29,22
2020-01-08,30,166
2020-01-08,31,30
2020-01-08,32,22
2020-01-09,01,22
2020-01-09,02,71
2020-01-09,03,18
2020-01-09,04,8
2020-01-09,05,71
2020-01-09,06,17
2020-01-09,07,66
2020-01-09,08,89
2020-01-09,09,280
2020-01-09,10,32
2020-01-09,11,120
2020-01-09,12,38
2020-01-09,13,65
2020-01-09,14,91
2020-01-09,15,265
2020-01-09,16,94
2020-01-09,17,36
2020-01-09,18,31
2020-01-09,19,117
2020-01-09,20,71
2020-01-09,21,157
2020-01-09,22,32
2020-01-09,23,23
2020-01-09,24,50
2020-01-09,25,29
2020-01-09,26,63
2020-01-09,27,46
2020-01-09,28,51
2020-01-09,29,25
2020-01-09,30,140
2020-01-09,31,41
2020-01-09,32,30
2020-01-10,01,19
2020-01-10,02,73
2020-01-10,03,8
2020-01-10,04,19
2020-01-10,05,58
2020-01-10,06,15
2020-01-10,07,66
2020-01-10,08,65
2020-01-10,09,255
2020-01-10,10,28
2020-01-10,11,130
2020-01-10,12,45
2020-01-10,13,43
2020-01-10,14,116
2020-01-10,15,303
2020-01-10,16,89
2020-01-10,17,36
2020-01-10,18,17
2020-01-10,19,110
2020-01-10,20,86
2020-01-10,21,149
2020-01-10,22,42
2020-01-10,23,17
2020-01-10,24,47
2020-01-10,25,48
2020-01-10,26,59
2020-01-10,27,51
2020-01-10,28,80
2020-01-10,29,25
2020-01-10,30,169
2020-01-10,31,54
2020-01-10,32,36
2020-01-11,01,28
2020-01-11,02,84
2020-01-11,03,12
2020-01-11,04,17
2020-01-11,05,51
2020-01-11,06,11
2020-01-11,07,53
2020-01-11,08,87
2020-01-11,09,260
2020-01-11,10,29
2020-01-11,11,137
2020-01-11,12,52
2020-01-11,13,49
2020-01-11,14,91
2020-01-11,15,309
2020-01-11,16,96
2020-01-11,17,35
2020-01-11,18,27
2020-01-11,19,111
2020-01-11,20,55
2020-01-11,21,146
2020-01-11,22,30
2020-01-11,23,16
2020-01-11,24,55
2020-01-11,25,46
2020-01-11,26,53
2020-01-11,27,55
2020-01-11,28,66
2020-01-11,29,23
2020-01-11,30,180
2020-01-11,31,65
2020-01-11,32,43
2020-01-12,01,22
2020-01-12,02,71
2020-01-12,03,11
2020-01-12,04,13
2020-01-12,05,61
2020-01-12,06,12
2020-01-12,07,90
2020-01-12,08,83
2020-01-12,09,281
2020-01-12,10,24
2020-01-12,11,134
2020-01-12,12,42
2020-01-12,13,59
2020-01-12,14,108
2020-01-12,15,287
2020-01-12,16,87
2020-01-12,17,48
2020-01-12,18,21
2020-01-12,19,78
2020-01-12,20,66
2020-01-12,21,168
2020-01-12,22,42
2020-01-12,23,27
2020-01-12,24,42
2020-01-12,25,51
2020-01-12,26,67
2020-01-12,27,43
2020-01-12,28,56
2020-01-12,29,31
2020-01-12,30,166
2020-01-12,31,33
2020-01-12,32,33
2020-01-13,01,29
2020-01-13,02,73
2020-01-13,03,15
2020-01-13,04,25
2020-01-13,05,65
2020-01-13,06,14
2020-01-13,07,84
2020-01-13,08,62
2020-01-13,09,264
2020-01-13,10,34
2020-01-13,11,138
2020-01-13,12,39
2020-01-13,13,57
2020-01-13,14,126
2020-01-13,15,271
2020-01-13,16,87
2020-01-13,17,35
2020-01-13,18,28
2020-01-13,19,105
2020-01-13,20,78
2020-01-13,21,149
2020-01-13,22,44
2020-01-13,23,16
2020-01-13,24,48
2020-01-13,25,60
2020-01-13,26,51
2020-01-13,27,39
2020-01-13,28,44
2020-01-13,29,17
2020-01-13,30,184
2020-01-13,31,38
2020-01-13,32,32
2020-01-14,01,25
2020-01-14,02,74
2020-01-14,03,14
2020-01-14,04,9
2020-01-14,05,55
2020-01-14,06,24
2020-01-14,07,101
2020-01-14,08,78
2020-01-14,09,271
2020-01-14,10,36
2020-01-14,11,133
2020-01-14,12,58
2020-01-14,13,59
2020-01-14,14,158
2020-01-14,15,269
2020-01-14,16,81
2020-01-14,17,49
2020-01-14,18,18
2020-01-14,19,75
2020-01-14,20,91
2020-01-14,21,168
2020-01-14,22,30
2020-01-14,23,18
2020-01-14,24,55
2020-01-14,25,45
2020-01-14,26,71
2020-01-14,27,45
2020-01-14,28,53
2020-01-14,29,22
2020-01-14,30,167
2020-01-14,31,45
2020-01-14,32,32
2020-01-15,01,22
2020-01-15,02,65
2020-01-15,03,11
2020-01-15,04,18
2020-01-15,05,58
2020-01-15,06,12
2020-01-15,07,72
2020-01-15,08,76
2020-01-15,09,234
2020-01-15,10,26
2020-01-15,11,142
2020-01-15,12,43
2020-01-15,13,49
2020-01-15,14,157
2020-01-15,15,236
2020-01-15,16,107
2020-01-15,17,44
2020-01-15,18,22
2020-01-15,19,116
2020-01-15,20,74
2020-01-15,21,134
2020-01-15,22,42
2020-01-15,23,27
2020-01-15,24,50
2020-01-15,25,43
2020-01-15,26,67
2020-01-15,27,49
2020-01-15,28,74
2020-01-15,29,16
2020-01-15,30,165
2020-01-15,31,34
2020-01-15,32,31
2020-01-16,01,26
2020-01-16,02,89
2020-01-16,03,20
2020-01-16,04,11
2020-01-16,05,75
2020-01-16,06,15
2020-01-16,07,73
2020-01-16,08,71
2020-01-16,09,281
2020-01-16,10,36
2020-01-16,11,131
2020-01-16,12,55
2020-01-16,13,53
2020-01-16,14,136
2020-01-16,15,274
2020-01-16,16,73
2020-01-16,17,36
2020-01-16,18,17
2020-01-16,19,100
2020-01-16,20,72
2020-01-16,21,114
2020-01-16,22,45
2020-01-16,23,21
2020-01-16,24,39
2020-01-16,25,51
2020-01-16,26,69
2020-01-16,27,44
2020-01-16,28,76
2020-01-16,29,26
2020-01-16,30,152
2020-01-16,31,38
2020-01-16,32,24
2020-01-17,01,20
2020-01-17,02,78
2020-01-17,03,10
2020-01-17,04,14
2020-01-17,05,52
2020-01-17,06,13
2020-01-17,07,46
2020-01-17,08,91
2020-01-17,09,225
2020-01-17,10,34
2020-01-17,11,106
2020-01-17,12,60
2020-01-17,13,45
2020-01-17,14,139
2020-01-17,15,240
2020-01-17,16,94
2020-01-17,17,38
2020-01-17,18,26
2020-01-17,19,90
2020-01-17,20,63
2020-01-17,21,148
2020-01-17,22,48
2020-01-17,23,18
2020-01-17,24,49
2020-01-17,25,43
2020-01-17,26,63
2020-01-17,27,43
2020-01-17,28,52
2020-01-17,29,17
2020-01-17,30,160
2020-01-17,31,32
2020-01-17,32,30
2020-01-18,01,22
2020-01-18,02,67
2020-01-18,03,15
2020-01-18,04,5
2020-01-18,05,43
2020-01-18,06,12
2020-01-18,07,48
2020-01-18,08,90
2020-01-18,09,248
2020-01-18,10,30
2020-01-18,11,119
2020-01-18,12,36
2020-01-18,13,40
2020-01-18,14,160
2020-01-18,15,247
2020-01-18,16,82
2020-01-18,17,33
2020-01-18,18,24
2020-01-18,19,86
2020-01-18,20,73
2020-01-18,21,139
2020-01-18,22,39
2020-01-18,23,11
2020-01-18,24,45
2020-01-18,25,51
2020-01-18,26,73
2020-01-18,27,57
2020-01-18,28,53
2020-01-18,29,16
2020-01-18,30,156
2020-01-18,31,32
2020-01-18,32,27
2020-01-19,01,14
2020-01-19,02,86
2020-01-19,03,7
2020-01-19,04,5
2020-01-19,05,62
2020-01-19,06,9
2020-01-19,07,88
2020-01-19,08,78
2020-01-19,09,230
2020-01-19,10,19
2020-01-19,11,112
2020-01-19,12,40
2020-01-19,13,47
2020-01-19,14,131
2020-01-19,15,270
2020-01-19,16,93
2020-01-19,17,41
2020-01-19,18,25
2020-01-19,19,84
2020-01-19,20,68
2020-01-19,21,157
2020-01-19,22,18
2020-01-19,23,23
2020-01-19,24,39
2020-01-19,25,45
2020-01-19,26,53
2020-01-19,27,35
2020-01-19,28,59
2020-01-19,29,23
2020-01-19,30,168
2020-01-19,31,35
2020-01-19,32,22
2020-01-20,01,20
2020-01-20,02,72
2020-01-20,03,15
2020-01-20,04,10
2020-01-20,05,46
2020-01-20,06,12
2020-01-20,07,91
2020-01-20,08,70
2020-01-20,09,250
2020-01-20,10,20
2020-01-20,11,105
2020-01-20,12,55
2020-01-20,13,45
2020-01-20,14,149
2020-01-20,15,265
2020-01-20,16,81
2020-01-20,17,44
2020-01-20,18,24
2020-01-20,19,104
2020-01-20,20,71
2020-01-20,21,135
2020-01-20,22,34
2020-01-20,23,22
2020-01-20,24,52
2020-01-20,25,47
2020-01-20,26,62
2020-01-20,27,37
2020-01-20,28,53
