fecha,CVE_ENT,def_registradas,def_residentes,def_ocurridas
1943-12-21,32,1,1,1
1949-04-15,10,1,1,1
1950-05-09,16,1,1,1
1951-09-12,25,1,1,NA
1954-01-07,32,1,1,1
1955-11-25,32,1,1,1
1958-10-05,14,1,1,1
1958-12-25,07,1,1,1
1962-01-15,05,1,1,1
1964-02-23,32,1,1,1
1965-09-08,12,1,1,1
1965-12-12,32,1,1,1
1966-02-04,30,1,1,1
1967-01-20,05,1,1,1
1967-02-12,16,1,1,1
1967-04-12,32,1,1,1
1968-10-28,17,1,NA,1
1970-04-05,12,1,NA,1
1970-06-12,20,1,1,1
1970-08-15,16,1,1,1
1970-08-15,25,1,NA,NA
1971-05-02,32,1,1,1
1971-06-03,05,1,1,1
1971-08-25,30,1,1,1
1971-10-05,32,1,1,1
1971-12-24,25,1,1,NA
1971-12-30,10,1,1,1
1972-02-06,32,1,1,1
1973-02-14,10,1,1,1
1973-10-22,12,1,1,1
1974-01-01,20,1,1,1
1974-11-13,10,1,NA,NA
1974-12-08,25,1,1,1
1975-03-20,10,1,1,1
1975-12-06,16,1,1,1
1976-06-02,16,1,1,1
1977-01-25,32,1,1,1
1977-10-27,30,1,1,1
1978-06-10,32,1,1,1
1978-10-27,16,1,1,1
1979-05-14,16,1,NA,1
1979-09-10,05,1,1,1
1980-04-07,16,1,1,1
1980-10-31,12,1,1,1
1980-11-20,25,1,1,NA
1981-07-19,21,1,1,1
1981-08-18,21,1,1,1
1981-11-19,32,1,1,1
1982-09-12,14,1,1,1
1982-11-28,16,1,1,1
1983-01-29,10,1,1,1
1983-07-12,25,1,1,1
1983-10-27,25,1,1,1
1983-12-26,12,1,1,1
1984-01-12,25,1,NA,1
1984-01-23,07,1,1,1
1984-06-22,12,1,1,1
1984-06-30,15,1,1,1
1984-07-16,16,1,1,1
1984-07-25,25,1,1,1
1984-11-29,25,1,NA,NA
1985-01-18,10,1,1,1
1985-02-02,32,1,1,1
1985-04-07,14,1,1,1
1985-04-23,25,1,1,1
1985-10-15,20,1,1,1
1985-11-14,17,1,1,1
1986-01-16,22,1,1,1
1986-05-08,10,1,1,1
1986-05-18,26,1,1,1
1986-06-03,21,1,1,1
1986-07-03,25,1,NA,NA
1986-08-01,12,1,NA,1
1986-10-11,16,1,1,1
1986-10-16,16,1,NA,1
