fecha,CVE_ENT,def_registradas,def_residentes,def_ocurridas
1935-12-30,16,1,NA,NA
1947-05-01,32,1,NA,NA
1949-06-24,32,1,NA,NA
1952-06-01,10,1,NA,NA
1953-02-22,32,1,NA,NA
1955-01-01,12,1,NA,NA
1955-02-24,10,1,NA,NA
1955-09-13,03,1,NA,NA
1957-04-24,19,1,NA,NA
1957-07-12,10,1,NA,NA
1959-11-25,12,1,NA,NA
1960-11-30,19,1,NA,NA
1962-07-17,19,1,NA,NA
1963-01-22,25,1,NA,NA
1963-05-16,10,1,NA,NA
1964-09-10,25,1,NA,NA
1965-12-28,25,1,NA,NA
1968-05-01,19,1,NA,NA
1968-10-12,16,1,NA,NA
1969-05-10,10,1,NA,NA
1969-10-22,10,1,NA,NA
1970-01-12,14,1,NA,NA
1971-01-05,25,1,NA,NA
1971-02-11,32,1,NA,NA
1971-04-07,12,1,NA,NA
1971-04-17,16,1,NA,NA
1971-05-18,14,1,NA,NA
1971-07-03,18,1,NA,NA
1972-01-08,32,1,NA,NA
1972-03-17,32,1,NA,NA
1972-06-17,32,1,NA,NA
1972-08-04,12,1,1,1
1972-09-16,32,1,NA,NA
1972-10-10,32,1,NA,NA
1972-12-16,16,1,NA,NA
1973-02-19,25,1,NA,NA
1975-04-21,18,1,NA,NA
1975-08-09,19,1,NA,NA
1975-12-30,30,1,NA,NA
1976-09-03,10,1,1,1
1976-12-01,25,1,NA,NA
1976-12-11,12,1,NA,NA
1977-04-07,16,1,NA,NA
1977-07-09,15,1,1,1
1977-12-22,10,1,NA,NA
1979-05-14,19,1,NA,NA
1979-10-07,19,1,NA,NA
1979-11-09,12,1,NA,NA
1979-12-24,16,1,NA,NA
1980-04-30,14,1,NA,NA
1980-05-08,25,1,NA,NA
1980-09-13,10,1,NA,NA
1980-11-12,19,1,NA,NA
1980-11-22,10,1,NA,NA
1980-11-28,25,1,NA,NA
1980-12-04,32,1,NA,NA
1981-04-16,10,1,NA,NA
1981-05-11,24,1,NA,NA
1981-11-02,19,1,NA,NA
1981-11-29,14,1,NA,NA
1982-01-07,05,1,NA,NA
1982-03-10,18,1,1,1
1982-09-12,16,1,NA,NA
1982-12-21,10,1,NA,NA
1983-01-15,32,1,NA,NA
1983-06-02,16,1,NA,NA
1983-06-14,16,1,NA,NA
1983-08-29,10,1,NA,NA
1983-11-28,16,1,NA,NA
1984-02-19,25,1,NA,NA
1984-10-02,32,1,NA,NA
1984-11-04,18,1,NA,NA
1985-06-11,10,1,NA,NA
1985-10-13,05,1,NA,NA
1985-11-13,12,1,NA,NA
1985-11-27,30,1,NA,NA
1985-12-06,19,1,NA,NA
1986-01-11,25,1,NA,NA
1986-05-23,32,1,NA,NA
1986-06-07,16,1,NA,NA
1986-06-10,25,1,NA,NA
1986-07-23,19,1,NA,NA
1986-09-24,10,1,NA,NA
1986-10-06,10,1,NA,NA
1986-11-15,10,1,NA,NA
1987-02-10,10,1,NA,NA
1987-03-02,10,1,NA,NA
1987-05-21,10,1,NA,NA
1987-09-21,10,1,NA,NA
1987-11-11,16,1,NA,NA
1987-11-25,10,1,NA,NA
1987-12-12,10,1,NA,NA
1987-12-16,28,1,1,1
1988-02-25,16,1,NA,NA
1988-05-12,10,1,NA,NA
1988-06-20,10,1,NA,NA
1988-07-31,14,1,NA,NA
1988-10-29,10,1,NA,NA
1988-12-10,12,1,NA,NA
1989-02-15,32,1,NA,NA
1989-04-03,25,1,NA,NA
1990-01-01,12,1,NA,NA
1990-01-27,25,1,1,1
1990-04-23,18,1,NA,NA
1990-06-02,18,1,NA,NA
1990-06-20,25,1,NA,NA
1990-07-18,10,1,NA,NA
1990-07-26,05,1,1,1
1990-10-22,07,1,NA,NA
1990-12-03,10,1,NA,NA
1990-12-27,18,1,NA,NA
1991-03-06,10,1,NA,NA
1991-04-14,10,1,NA,NA
